symbol,gamma,kappa,min_spread,open_mult,train_sharpe,train_pnl,test_sharpe,test_pnl,total_pnl,avg_daily_pnl,profitable_days,test_days,pnl_std
ADANIPORTS26JUNFUT,0.002,1.0,0.05,1.0,5.5525,-16646.55,4.95,-39219.33,-65283.54,-13056.71,2,4,31735.99
ADANIPORTS26JUNFUT,0.002,1.0,0.05,1.5,6.8973,14222.08,5.815,-214.27,-2638.9,-527.78,2,4,32189.1
ADANIPORTS26JUNFUT,0.002,1.0,0.05,2.0,8.1552,40944.76,5.31,-16879.14,14929.48,2985.9,3,4,31108.9
ADANIPORTS26JUNFUT,0.002,1.0,0.05,3.0,8.0987,31559.73,5.5125,6353.15,25377.89,5075.58,3,4,27060.57
ADANIPORTS26JUNFUT,0.002,1.0,0.1,1.0,5.5525,-16646.55,4.95,-39219.33,-65283.54,-13056.71,2,4,31735.99
ADANIPORTS26JUNFUT,0.002,1.0,0.1,1.5,6.8973,14222.08,5.815,-214.27,-2638.9,-527.78,2,4,32189.1
ADANIPORTS26JUNFUT,0.002,1.0,0.1,2.0,8.1552,40944.76,5.31,-16879.14,14929.48,2985.9,3,4,31108.9
ADANIPORTS26JUNFUT,0.002,1.0,0.1,3.0,8.0987,31559.73,5.5125,6353.15,25377.89,5075.58,3,4,27060.57
ADANIPORTS26JUNFUT,0.002,1.0,0.25,1.0,5.5525,-16646.55,4.95,-39219.33,-65283.54,-13056.71,2,4,31735.99
ADANIPORTS26JUNFUT,0.002,1.0,0.25,1.5,6.8973,14222.08,5.815,-214.27,-2638.9,-527.78,2,4,32189.1
ADANIPORTS26JUNFUT,0.002,1.0,0.25,2.0,8.1552,40944.76,5.31,-16879.14,14929.48,2985.9,3,4,31108.9
ADANIPORTS26JUNFUT,0.002,1.0,0.25,3.0,8.0987,31559.73,5.5125,6353.15,25377.89,5075.58,3,4,27060.57
ADANIPORTS26JUNFUT,0.002,1.0,0.5,1.0,5.5525,-16646.55,4.95,-39219.33,-65283.54,-13056.71,2,4,31735.99
ADANIPORTS26JUNFUT,0.002,1.0,0.5,1.5,6.8973,14222.08,5.815,-214.27,-2638.9,-527.78,2,4,32189.1
ADANIPORTS26JUNFUT,0.002,1.0,0.5,2.0,8.1552,40944.76,5.31,-16879.14,14929.48,2985.9,3,4,31108.9
ADANIPORTS26JUNFUT,0.002,1.0,0.5,3.0,8.0987,31559.73,5.5125,6353.15,25377.89,5075.58,3,4,27060.57
ADANIPORTS26JUNFUT,0.002,1.5,0.05,1.0,7.6125,7258.82,5.3875,-103720.93,-113820.14,-22764.03,1,4,51953.96
